name,artist,popularity,genre,duration_ms,release_date,year,release_year,duration_min
Hide My Gun (Feat. HARDY),Post Malone,72,pop,220479,2024-08-15,2024.0,2024,3.67465
Yours,Post Malone,73,pop,199438,2024-08-15,2024.0,2024,3.3239666666666667
TRUCK BED,HARDY,79,pop,167534,2023-01-20,2023.0,2023,2.7922333333333333
Work Song,Hozier,78,pop,229720,2014-09-19,2014.0,2014,3.828666666666667
Locked out of Heaven,Bruno Mars,88,pop,233478,2012-12-07,2012.0,2012,3.8913
That's What I Like,Bruno Mars,87,pop,206693,2016-11-17,2016.0,2016,3.4448833333333333
It's Up (feat. Young Thug & 21 Savage),Drake,60,pop,278000,2024-08-10,2024.0,2024,4.633333333333334
Never Love You Again (Feat. Sierra Ferrell),Post Malone,72,pop,186861,2024-08-15,2024.0,2024,3.11435
Yellow,Coldplay,89,pop,266773,2000-07-10,2000.0,2000,4.4462166666666665
the boy is mine,Ariana Grande,86,pop,173639,2024-03-08,2024.0,2024,2.8939833333333334
Flowers,Miley Cyrus,88,pop,200600,2023-08-18,2023.0,2023,3.3433333333333333
Time of Our Lives,Pitbull,84,pop,229360,2014-11-21,2014.0,2014,3.8226666666666667
Drops of Jupiter (Tell Me),Train,82,pop,259933,2001-03-27,2001.0,2001,4.332216666666667
Right About You,Post Malone,71,pop,183046,2024-08-15,2024.0,2024,3.0507666666666666
I Don't Wanna Wait,David Guetta,90,pop,149667,2024-04-05,2024.0,2024,2.49445
Blue Green Red,Drake,51,pop,217846,2024-08-10,2024.0,2024,3.6307666666666667
M-E-X-I-C-O (Feat. Billy Strings),Post Malone,71,pop,155928,2024-08-15,2024.0,2024,2.5988
Housekeeping Knows (feat. Latto),Drake,44,pop,186692,2024-08-10,2024.0,2024,3.1115333333333335
When I Was Your Man,Bruno Mars,88,pop,213826,2012-12-07,2012.0,2012,3.5637666666666665
Daddy Issues,The Neighbourhood,85,pop,260173,2015-10-30,2015.0,2015,4.336216666666667
"Double Life - From ""Despicable Me 4""",Pharrell Williams,84,pop,190782,2024-06-14,2024.0,2024,3.1797
No Scrubs,TLC,83,pop,214400,1999-02-23,1999.0,1999,3.5733333333333333
Rock and A Hard Place,Bailey Zimmerman,78,pop,207540,2023-01-11,2023.0,2023,3.459
Blinding Lights,The Weeknd,89,pop,200040,2020-03-20,2020.0,2020,3.334
vampire,Olivia Rodrigo,85,pop,219724,2023-09-08,2023.0,2023,3.6620666666666666
Sunroof,Nicky Youre,84,pop,163025,2023-06-09,2023.0,2023,2.7170833333333335
Wrong Ones (Feat. Tim McGraw),Post Malone,70,pop,195822,2024-08-16,2024.0,2024,3.2637
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,84,pop,157560,2019-09-06,2019.0,2019,2.626
Devil You Know,Tyler Braden,79,pop,192693,2024-02-02,2024.0,2024,3.21155
Lover,Taylor Swift,87,pop,221306,2019-08-23,2019.0,2019,3.6884333333333332
Something Just Like This,The Chainsmokers,88,pop,247160,2017-04-07,2017.0,2017,4.1193333333333335
All The Small Things,blink-182,83,pop,167066,1999-06-01,1999.0,1999,2.7844333333333333
Love Me,Lil Wayne,81,pop,255053,2013-01-01,2013.0,2013,4.250883333333333
Finer Things (Feat. Hank Williams Jr.),Post Malone,69,pop,185533,2024-08-16,2024.0,2024,3.092216666666667
What Don't Belong To Me,Post Malone,69,pop,207176,2024-08-16,2024.0,2024,3.452933333333333
Jessie's Girl,Rick Springfield,76,pop,194120,1981-03-13,1981.0,1981,3.235333333333333
Starboy,The Weeknd,88,pop,230453,2016-11-25,2016.0,2016,3.840883333333333
Promiscuous,Nelly Furtado,84,pop,242293,2006-01-01,2006.0,2006,4.038216666666667
Holy Smokes,Bailey Zimmerman,77,pop,195157,2024-02-23,2024.0,2024,3.2526166666666665
Unforgettable,French Montana,87,pop,233901,2017-07-14,2017.0,2017,3.89835
JOYRIDE,Kesha,81,pop,150000,2024-07-04,2024.0,2024,2.5
Fallin’ In Love,Post Malone,68,pop,171185,2024-08-16,2024.0,2024,2.853083333333333
Dead At The Honky Tonk,Post Malone,68,pop,213225,2024-08-16,2024.0,2024,3.55375
lovely (with Khalid),Billie Eilish,87,pop,200185,2018-04-19,2018.0,2018,3.3364166666666666
The Hills,The Weeknd,85,pop,242253,2015-08-28,2015.0,2015,4.03755
Give Me Everything (feat. Nayer),Pitbull,86,pop,252306,2011-06-17,2011.0,2011,4.2051
Feel It - From The Original Series “Invincible”,d4vd,82,pop,157974,2024-03-28,2024.0,2024,2.6329
